channel_id,spacecraft,train_file,test_file,train_shape,test_shape,signal_columns,command_columns,physical_description,unit,subsystem,meaning_status,meaning_source,anomaly_label_available,notes
M-4,MSL,train/M-4.npy,test/M-4.npy,"(2076, 55)","(2038, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Rover mechanism / mobility telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Rover Mechanical / Mobility,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
M-5,MSL,train/M-5.npy,test/M-5.npy,"(2032, 55)","(2303, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Rover mechanism / mobility telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Rover Mechanical / Mobility,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
M-6,MSL,train/M-6.npy,test/M-6.npy,"(1565, 55)","(2049, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Rover mechanism / mobility telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Rover Mechanical / Mobility,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
M-7,MSL,train/M-7.npy,test/M-7.npy,"(1587, 55)","(2156, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Rover mechanism / mobility telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Rover Mechanical / Mobility,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
P-1,SMAP,train/P-1.npy,test/P-1.npy,"(2872, 25)","(8505, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"3 labeled anomaly sequence(s); class: [contextual, contextual, contextual]"
P-10,MSL,train/P-10.npy,test/P-10.npy,"(4308, 55)","(6100, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
P-11,MSL,train/P-11.npy,test/P-11.npy,"(3969, 55)","(3535, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [point, point]"
P-14,MSL,train/P-14.npy,test/P-14.npy,"(2880, 55)","(6100, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
P-15,MSL,train/P-15.npy,test/P-15.npy,"(3682, 55)","(2856, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
P-2,SMAP,train/P-2.npy,test/P-2.npy,"(2821, 25)","(8209, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,2 labeled anomaly sequence(s); class: [point]; [point]
P-3,SMAP,train/P-3.npy,test/P-3.npy,"(2855, 25)","(8493, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
P-4,SMAP,train/P-4.npy,test/P-4.npy,"(2609, 25)","(7783, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"3 labeled anomaly sequence(s); class: [point, point, point]"
P-7,SMAP,train/P-7.npy,test/P-7.npy,"(2853, 25)","(8071, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power bus voltage / current telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Bus / EPS,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
R-1,SMAP,train/R-1.npy,test/R-1.npy,"(2874, 25)","(7244, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Environmental / radiation sensor stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Radiation / Environment,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
S-1,SMAP,train/S-1.npy,test/S-1.npy,"(2818, 25)","(7331, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),System status / operational health stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",System & Status,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
S-2,MSL,train/S-2.npy,test/S-2.npy,"(926, 55)","(1827, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),System status / operational health stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",System & Status,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
T-1,SMAP,train/T-1.npy,test/T-1.npy,"(2875, 25)","(8612, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [point, contextual]"
T-10,UNKNOWN,train/T-10.npy,test/T-10.npy,"(425, 55)","(670, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),NO,Channel present in telemetry arrays but omitted from labeled_anomalies.csv
T-12,MSL,train/T-12.npy,test/T-12.npy,"(1145, 55)","(2430, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
T-13,MSL,train/T-13.npy,test/T-13.npy,"(1145, 55)","(2430, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [contextual, contextual]"
T-2,SMAP,train/T-2.npy,test/T-2.npy,"(2855, 25)","(8625, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
T-3,SMAP,train/T-3.npy,test/T-3.npy,"(2876, 25)","(8579, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [point, point]"
T-4,MSL,train/T-4.npy,test/T-4.npy,"(2272, 55)","(2217, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
T-5,MSL,train/T-5.npy,test/T-5.npy,"(2272, 55)","(2218, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
T-8,MSL,train/T-8.npy,test/T-8.npy,"(748, 55)","(1519, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [contextual, contextual]"
T-9,MSL,train/T-9.npy,test/T-9.npy,"(439, 55)","(1096, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Thermal / thermistor sensor telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Thermal Management Subsystem,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [point, point]"
